Date,House_Price_Index
Sep-03,60.7
Dec-03,62.1
Mar-04,60.8
Jun-04,60.9
Sep-04,60.9
Dec-04,62.4
Mar-05,62.5
Jun-05,63.2
Sep-05,63.1
Dec-05,64
Mar-06,65.4
Jun-06,67.2
Sep-06,68.1
Dec-06,69.5
Mar-07,71
Jun-07,76
Sep-07,79.5
Dec-07,84.7
Mar-08,85.7
Jun-08,85.5
Sep-08,83
Dec-08,82.3
Mar-09,82.5
Jun-09,86.9
Sep-09,92.5
Dec-09,98.6
Mar-10,103.3
Jun-10,106.2
Sep-10,104.3
Dec-10,105.7
Mar-11,104.7
Jun-11,103.5
Sep-11,101.3
Dec-11,100
Mar-12,99.4
Jun-12,99.3
Sep-12,98.6
Dec-12,100.4
Mar-13,100.8
Jun-13,102.7
Sep-13,105.9
Dec-13,109.7
Mar-14,110.7
Jun-14,112.1
Sep-14,113.1
Dec-14,115.2
Mar-15,115.9
Jun-15,120.8
Sep-15,124.3
Dec-15,126.3
Mar-16,127.3
Jun-16,130.7
Sep-16,132.9
Dec-16,140
Mar-17,144.4
Jun-17,148.7
Sep-17,150.4
Dec-17,154.3
Mar-18,153.4
Jun-18,152.1
Sep-18,148.1
Dec-18,144.5
Mar-19,139
Jun-19,137.9
Sep-19,142.9
Dec-19,150.4
Mar-20,153.5
Jun-20,150
Sep-20,149.6
Dec-20,154.7
