Date,CPI_Index
Sep-48,3.8
Dec-48,3.9
Mar-49,4.0
Jun-49,4.0
Sep-49,4.1
Dec-49,4.1
Mar-50,4.2
Jun-50,4.4
Sep-50,4.4
Dec-50,4.6
Mar-51,4.8
Jun-51,5.1
Sep-51,5.4
Dec-51,5.7
Mar-52,5.9
Jun-52,6.2
Sep-52,6.3
Dec-52,6.3
Mar-53,6.4
Jun-53,6.4
Sep-53,6.5
Dec-53,6.5
Mar-54,6.5
Jun-54,6.5
Sep-54,6.5
Dec-54,6.5
Mar-55,6.6
Jun-55,6.6
Sep-55,6.6
Dec-55,6.7
Mar-56,6.8
Jun-56,7.0
Sep-56,7.1
Dec-56,7.1
Mar-57,7.0
Jun-57,7.1
Sep-57,7.1
Dec-57,7.1
Mar-58,7.1
Jun-58,7.1
Sep-58,7.2
Dec-58,7.2
Mar-59,7.3
Jun-59,7.3
Sep-59,7.4
Dec-59,7.4
Mar-60,7.5
Jun-60,7.6
Sep-60,7.7
Dec-60,7.8
Mar-61,7.8
Jun-61,7.9
Sep-61,7.8
Dec-61,7.8
Mar-62,7.7
Jun-62,7.7
Sep-62,7.7
Dec-62,7.7
Mar-63,7.7
Jun-63,7.8
Sep-63,7.8
Dec-63,7.8
Mar-64,7.8
Jun-64,8.0
Sep-64,8.1
Dec-64,8.2
Mar-65,8.2
Jun-65,8.2
Sep-65,8.3
Dec-65,8.4
Mar-66,8.4
Jun-66,8.6
Sep-66,8.6
Dec-66,8.7
Mar-67,8.7
Jun-67,8.8
Sep-67,8.9
Dec-67,8.9
Mar-68,8.9
Jun-68,9.0
Sep-68,9.0
Dec-68,9.1
Mar-69,9.2
Jun-69,9.2
Sep-69,9.3
Dec-69,9.3
Mar-70,9.4
Jun-70,9.5
Sep-70,9.5
Dec-70,9.7
Mar-71,9.8
Jun-71,10.0
Sep-71,10.1
Dec-71,10.3
Mar-72,10.4
Jun-72,10.5
Sep-72,10.7
Dec-72,10.8
Mar-73,11.0
Jun-73,11.4
Sep-73,11.8
Dec-73,12.3
Mar-74,12.6
Jun-74,13.2
Sep-74,13.8
Dec-74,14.4
Mar-75,15.1
Jun-75,15.6
Sep-75,15.5
Dec-75,16.3
Mar-76,16.9
Jun-76,17.4
Sep-76,17.9
Dec-76,19.1
Mar-77,19.5
Jun-77,19.9
Sep-77,20.4
Dec-77,20.9
Mar-78,21.1
Jun-78,21.5
Sep-78,22.0
Dec-78,22.3
Mar-79,22.7
Jun-79,23.3
Sep-79,23.7
Dec-79,24.6
Mar-80,25.1
Jun-80,25.8
Sep-80,26.1
Dec-80,26.7
Mar-81,27.4
Jun-81,28.1
Sep-81,28.7
Dec-81,29.8
Mar-82,30.2
Jun-82,31.0
Sep-82,32.1
Dec-82,33.0
Mar-83,33.9
Jun-83,34.8
Sep-83,35.3
Dec-83,36.0
Mar-84,36.0
Jun-84,36.1
Sep-84,36.4
Dec-84,37.2
Mar-85,37.7
Jun-85,38.7
Sep-85,39.5
Dec-85,40.4
Mar-86,41.0
Jun-86,41.8
Sep-86,43.0
Dec-86,44.1
Mar-87,44.9
Jun-87,45.6
Sep-87,46.1
Dec-87,47.1
Mar-88,47.7
Jun-88,48.5
Sep-88,49.5
Dec-88,50.3
Mar-89,51.3
Jun-89,52.3
Sep-89,53.2
Dec-89,54.0
Mar-90,54.8
Jun-90,55.8
Sep-90,56.5
Dec-90,58.2
Mar-91,58.1
