Date,House_Price_Index
Sep-03,62.2
Dec-03,63.9
Mar-04,64.8
Jun-04,65.9
Sep-04,67.1
Dec-04,68.6
Mar-05,68.6
Jun-05,69.3
Sep-05,70.0
Dec-05,71.6
Mar-06,72.2
Jun-06,73.4
Sep-06,73.8
Dec-06,75.7
Mar-07,77.2
Jun-07,81.9
Sep-07,86.9
Dec-07,91.9
Mar-08,94.9
Jun-08,93.8
Sep-08,94.1
Dec-08,93.6
Mar-09,93.2
Jun-09,95.8
Sep-09,97.2
Dec-09,101.1
Mar-10,102.8
Jun-10,104.7
Sep-10,103.9
Dec-10,104.8
Mar-11,103.3
Jun-11,101.0
Sep-11,100.4
Dec-11,100.7
Mar-12,99.3
Jun-12,99.6
Sep-12,99.2
Dec-12,100.2
Mar-13,99.8
Jun-13,100.9
Sep-13,101.3
Dec-13,104.4
Mar-14,105.4
Jun-14,105.6
Sep-14,106.1
Dec-14,107.3
Mar-15,108.0
Jun-15,108.5
Sep-15,109.8
Dec-15,110.8
Mar-16,111.4
Jun-16,112.3
Sep-16,113.3
Dec-16,115.3
Mar-17,117.0
Jun-17,117.9
Sep-17,118.7
Dec-17,119.4
Mar-18,120.0
Jun-18,120.4
Sep-18,121.1
Dec-18,121.2
Mar-19,121.0
Jun-19,120.3
Sep-19,119.9
Dec-19,121.6
Mar-20,122.1
Jun-20,121.1
Sep-20,123.0
Dec-20,126.2
