Date,House_Price_Index
Sep-03,64.2
Dec-03,69.4
Mar-04,70.7
Jun-04,71.7
Sep-04,71.2
Dec-04,72.0
Mar-05,72.6
Jun-05,73.3
Sep-05,73.6
Dec-05,75.0
Mar-06,75.6
Jun-06,77.5
Sep-06,78.5
Dec-06,80.5
Mar-07,83.6
Jun-07,89.0
Sep-07,93.4
Dec-07,98.1
Mar-08,100.6
Jun-08,101.3
Sep-08,97.5
Dec-08,95.8
Mar-09,96.0
Jun-09,98.8
Sep-09,102.1
Dec-09,105.3
Mar-10,106.4
Jun-10,107.0
Sep-10,105.3
Dec-10,105.0
Mar-11,102.9
Jun-11,102.5
Sep-11,99.9
Dec-11,100.2
Mar-12,100.0
Jun-12,99.9
Sep-12,100.8
Dec-12,101.7
Mar-13,101.9
Jun-13,103.2
Sep-13,104.5
Dec-13,107.1
Mar-14,108.5
Jun-14,110.5
Sep-14,111.0
Dec-14,112.3
Mar-15,112.7
Jun-15,113.7
Sep-15,115.2
Dec-15,117.0
Mar-16,117.3
Jun-16,118.6
Sep-16,118.8
Dec-16,121.4
Mar-17,121.4
Jun-17,122.1
Sep-17,122.9
Dec-17,124.0
Mar-18,123.3
Jun-18,124.2
Sep-18,125.0
Dec-18,123.6
Mar-19,121.7
Jun-19,120.9
Sep-19,121.8
Dec-19,124.0
Mar-20,124.8
Jun-20,123.7
Sep-20,125.6
Dec-20,129.0
