Date,CPI_Index
Sep-48,3.9
Dec-48,4.1
Mar-49,4.1
Jun-49,4.2
Sep-49,4.3
Dec-49,4.3
Mar-50,4.4
Jun-50,4.6
Sep-50,4.7
Dec-50,4.8
Mar-51,5.1
Jun-51,5.4
Sep-51,5.7
Dec-51,6.0
Mar-52,6.2
Jun-52,6.5
Sep-52,6.7
Dec-52,6.7
Mar-53,6.8
Jun-53,6.8
Sep-53,6.9
Dec-53,7.0
Mar-54,6.9
Jun-54,6.9
Sep-54,6.9
Dec-54,7.0
Mar-55,7.0
Jun-55,7.1
Sep-55,7.2
Dec-55,7.2
Mar-56,7.3
Jun-56,7.4
Sep-56,7.6
Dec-56,7.7
Mar-57,7.7
Jun-57,7.7
Sep-57,7.7
Dec-57,7.7
Mar-58,7.7
Jun-58,7.8
Sep-58,7.7
Dec-58,7.8
Mar-59,7.8
Jun-59,7.9
Sep-59,7.9
Dec-59,7.9
Mar-60,8.0
Jun-60,8.0
Sep-60,8.2
Dec-60,8.2
Mar-61,8.2
Jun-61,8.3
Sep-61,8.3
Dec-61,8.4
Mar-62,8.3
Jun-62,8.3
Sep-62,8.3
Dec-62,8.4
Mar-63,8.3
Jun-63,8.3
Sep-63,8.4
Dec-63,8.4
Mar-64,8.4
Jun-64,8.4
Sep-64,8.5
Dec-64,8.7
Mar-65,8.7
Jun-65,8.8
Sep-65,8.8
Dec-65,8.9
Mar-66,8.9
Jun-66,8.9
Sep-66,9.0
Dec-66,9.0
Mar-67,9.1
Jun-67,9.2
Sep-67,9.3
Dec-67,9.3
Mar-68,9.3
Jun-68,9.4
Sep-68,9.4
Dec-68,9.4
Mar-69,9.5
Jun-69,9.5
Sep-69,9.6
Dec-69,9.7
Mar-70,9.8
Jun-70,9.9
Sep-70,10.0
Dec-70,10.3
Mar-71,10.3
Jun-71,10.5
Sep-71,10.7
Dec-71,10.8
Mar-72,10.9
Jun-72,11.0
Sep-72,11.2
Dec-72,11.3
Mar-73,11.5
Jun-73,11.9
Sep-73,12.3
Dec-73,12.8
Mar-74,13.2
Jun-74,13.6
Sep-74,14.3
Dec-74,14.8
Mar-75,15.1
Jun-75,15.8
Sep-75,15.7
Dec-75,17.0
Mar-76,17.4
Jun-76,18.0
Sep-76,18.4
Dec-76,19.4
Mar-77,19.7
Jun-77,20.0
Sep-77,20.4
Dec-77,21.1
Mar-78,21.3
Jun-78,21.6
Sep-78,22.1
Dec-78,22.6
Mar-79,23.0
Jun-79,23.7
Sep-79,24.3
Dec-79,24.9
Mar-80,25.6
Jun-80,26.3
Sep-80,26.8
Dec-80,27.4
Mar-81,28.0
Jun-81,28.7
Sep-81,29.3
Dec-81,30.5
Mar-82,31.0
Jun-82,31.9
Sep-82,32.9
Dec-82,34.2
Mar-83,34.9
Jun-83,35.5
Sep-83,36.0
Dec-83,36.9
Mar-84,36.9
Jun-84,37.0
Sep-84,37.5
Dec-84,38.1
Mar-85,38.7
Jun-85,39.6
Sep-85,40.5
Dec-85,41.4
Mar-86,42.3
Jun-86,43.0
Sep-86,43.9
Dec-86,45.0
Mar-87,45.8
Jun-87,46.5
Sep-87,47.1
Dec-87,48.0
Mar-88,48.9
Jun-88,49.8
Sep-88,50.4
Dec-88,51.3
Mar-89,51.9
Jun-89,53.1
Sep-89,53.9
Dec-89,55.1
Mar-90,56.2
Jun-90,56.8
Sep-90,57.2
Dec-90,58.8
Mar-91,58.6
Jun-91,58.6
Sep-91,59.4
Dec-91,59.9
Mar-92,60.1
Jun-92,59.9
Sep-92,60.3
Dec-92,60.5
Mar-93,61.1
Jun-93,61.2
Sep-93,61.6
Dec-93,61.8
Mar-94,61.8
Jun-94,62.2
Sep-94,62.5
Dec-94,63.2
Mar-95,64.5
Jun-95,65.3
Sep-95,66.1
Dec-95,66.6
Mar-96,67.0
Jun-96,67.4
Sep-96,67.4
Dec-96,67.4
Mar-97,67.4
Jun-97,66.8
Sep-97,66.5
Dec-97,66.5
Mar-98,66.9
Jun-98,67.3
Sep-98,67.3
Dec-98,67.5
Mar-99,67.4
Jun-99,67.4
Sep-99,68.0
Dec-99,68.6
Mar-00,69.3
Jun-00,69.9
Sep-00,72.5
Dec-00,72.8
Mar-01,73.3
Jun-01,74.0
Sep-01,74.0
Dec-01,74.9
Mar-02,75.3
Jun-02,76.2
Sep-02,76.6
Dec-02,77.3
Mar-03,78.1
Jun-03,78.1
Sep-03,78.8
Dec-03,79.3
Mar-04,79.9
Jun-04,80.4
Sep-04,80.8
Dec-04,81.2
Mar-05,81.6
Jun-05,82.1
Sep-05,83.1
Dec-05,83.7
Mar-06,84.5
Jun-06,86.0
Sep-06,86.6
Dec-06,86.4
Mar-07,86.5
Jun-07,87.7
Sep-07,88.4
Dec-07,89.2
Mar-08,90.5
Jun-08,91.6
Sep-08,93.0
Dec-08,92.6
Mar-09,92.9
Jun-09,93.5
Sep-09,94.3
Dec-09,94.7
Mar-10,95.3
Jun-10,95.6
Sep-10,96.3
Dec-10,96.7
Mar-11,98.1
Jun-11,99.2
Sep-11,99.8
Dec-11,100.1
Mar-12,99.7
Jun-12,100.3
Sep-12,101.4
Dec-12,101.8
Mar-13,101.9
Jun-13,102.5
Sep-13,103.1
Dec-13,104.1
Mar-14,104.6
Jun-14,104.8
Sep-14,105.2
Dec-14,105.3
Mar-15,105.2
Jun-15,105.6
Sep-15,105.8
Dec-15,106.0
Mar-16,106.2
Jun-16,106.4
Sep-16,107.3
Dec-16,107.9
Mar-17,108.6
Jun-17,108.6
Sep-17,109.6
Dec-17,110.3
Mar-18,111.2
Jun-18,111.6
Sep-18,112.3
Dec-18,113.1
Mar-19,113.2
Jun-19,113.5
Sep-19,114.3
Dec-19,115.0
Mar-20,115.5
Jun-20,112.8
Sep-20,115.4
Dec-20,116.3
Mar-21,117.3
