Date,House_Price_Index
Sep-03,68.3
Dec-03,70.9
Mar-04,69.9
Jun-04,70.1
Sep-04,68.6
Dec-04,69.7
Mar-05,70.3
Jun-05,69.9
Sep-05,70.1
Dec-05,71.7
Mar-06,72.5
Jun-06,74.3
Sep-06,76.0
Dec-06,77.1
Mar-07,78.6
Jun-07,82.0
Sep-07,86.3
Dec-07,88.6
Mar-08,89.3
Jun-08,87.7
Sep-08,85.2
Dec-08,84.8
Mar-09,85.8
Jun-09,88.7
Sep-09,92.1
Dec-09,97.6
Mar-10,101.7
Jun-10,101.6
Sep-10,101.6
Dec-10,102.5
Mar-11,102.3
Jun-11,101.9
Sep-11,98.7
Dec-11,100.9
Mar-12,100.8
Jun-12,99.5
Sep-12,99.5
Dec-12,101.8
Mar-13,100.3
Jun-13,101.0
Sep-13,101.1
Dec-13,101.8
Mar-14,102.3
Jun-14,103.3
Sep-14,103.5
Dec-14,104.3
Mar-15,105.4
Jun-15,106.2
Sep-15,107.6
Dec-15,110.6
Mar-16,110.2
Jun-16,112.6
Sep-16,113.5
Dec-16,116.7
Mar-17,120.0
Jun-17,121.5
Sep-17,121.3
Dec-17,123.4
Mar-18,124.5
Jun-18,125.2
Sep-18,125.8
Dec-18,125.6
Mar-19,124.5
Jun-19,124.7
Sep-19,124.1
Dec-19,128.0
Mar-20,128.2
Jun-20,129.2
Sep-20,130.3
Dec-20,134.7
