Date,House_Price_Index
Sep-03,69.0
Dec-03,71.6
Mar-04,71.3
Jun-04,70.6
Sep-04,70.6
Dec-04,71.8
Mar-05,71.7
Jun-05,72.2
Sep-05,72.1
Dec-05,73.5
Mar-06,74.3
Jun-06,77.0
Sep-06,78.4
Dec-06,79.8
Mar-07,80.5
Jun-07,84.1
Sep-07,87.1
Dec-07,90.4
Mar-08,90.8
Jun-08,90.0
Sep-08,88.0
Dec-08,86.8
Mar-09,86.6
Jun-09,90.2
Sep-09,94.0
Dec-09,99.2
Mar-10,102.3
Jun-10,104.3
Sep-10,103.0
Dec-10,103.6
Mar-11,102.7
Jun-11,102.0
Sep-11,100.2
Dec-11,99.4
Mar-12,100.0
Jun-12,100.4
Sep-12,100.2
Dec-12,102.4
Mar-13,103.1
Jun-13,105.7
Sep-13,108.3
Dec-13,112.6
Mar-14,114.2
Jun-14,116.4
Sep-14,117.8
Dec-14,120.2
Mar-15,122.1
Jun-15,127.8
Sep-15,130.4
Dec-15,130.6
Mar-16,130.4
Jun-16,133.0
Sep-16,135.0
Dec-16,140.6
Mar-17,143.7
Jun-17,146.5
Sep-17,146.2
Dec-17,147.6
Mar-18,146.6
Jun-18,145.6
Sep-18,143.4
Dec-18,140.0
Mar-19,135.8
Jun-19,134.8
Sep-19,138.1
Dec-19,143.5
Mar-20,145.8
Jun-20,143.2
Sep-20,144.3
Dec-20,148.7
