Date,CPI_Index
Sep-48,
Dec-48,
Mar-49,
Jun-49,
Sep-49,
Dec-49,
Mar-50,
Jun-50,
Sep-50,
Dec-50,
Mar-51,
Jun-51,
Sep-51,
Dec-51,
Mar-52,
Jun-52,
Sep-52,
Dec-52,
Mar-53,
Jun-53,
Sep-53,
Dec-53,
Mar-54,
Jun-54,
Sep-54,
Dec-54,
Mar-55,
Jun-55,
Sep-55,
Dec-55,
Mar-56,
Jun-56,
Sep-56,
Dec-56,
Mar-57,
Jun-57,
Sep-57,
Dec-57,
Mar-58,
Jun-58,
Sep-58,
Dec-58,
Mar-59,
Jun-59,
Sep-59,
Dec-59,
Mar-60,
Jun-60,
Sep-60,
Dec-60,
Mar-61,
Jun-61,
Sep-61,
Dec-61,
Mar-62,
Jun-62,
Sep-62,
Dec-62,
Mar-63,
Jun-63,
Sep-63,
Dec-63,
Mar-64,
Jun-64,
Sep-64,
Dec-64,
Mar-65,
Jun-65,
Sep-65,
Dec-65,
Mar-66,
Jun-66,
Sep-66,
Dec-66,
Mar-67,
Jun-67,
Sep-67,
Dec-67,
Mar-68,
Jun-68,
Sep-68,
Dec-68,
Mar-69,
Jun-69,
Sep-69,
Dec-69,
Mar-70,
Jun-70,
Sep-70,
Dec-70,
Mar-71,
Jun-71,
Sep-71,
Dec-71,
Mar-72,
Jun-72,
Sep-72,
Dec-72,
Mar-73,
Jun-73,
Sep-73,
Dec-73,
Mar-74,
Jun-74,
Sep-74,
Dec-74,
Mar-75,
Jun-75,
Sep-75,
Dec-75,
Mar-76,
Jun-76,
Sep-76,
Dec-76,
Mar-77,
Jun-77,
Sep-77,
Dec-77,
Mar-78,
Jun-78,
Sep-78,
Dec-78,
Mar-79,
Jun-79,
Sep-79,
Dec-79,
Mar-80,
Jun-80,
Sep-80,28.8
Dec-80,29.5
Mar-81,30.1
Jun-81,30.6
Sep-81,31.3
Dec-81,33.1
Mar-82,33.6
Jun-82,34.2
Sep-82,35.3
Dec-82,36.4
Mar-83,37.1
Jun-83,37.8
Sep-83,38.3
Dec-83,38.8
Mar-84,39.0
Jun-84,39.0
Sep-84,39.5
Dec-84,39.9
Mar-85,40.3
Jun-85,41.2
Sep-85,42.6
Dec-85,43.1
Mar-86,43.9
Jun-86,44.4
Sep-86,45.6
Dec-86,47.2
Mar-87,48.0
Jun-87,48.8
Sep-87,49.6
Dec-87,50.4
Mar-88,51.1
Jun-88,51.9
Sep-88,52.2
Dec-88,52.8
Mar-89,53.5
Jun-89,54.4
Sep-89,55.2
Dec-89,56.2
Mar-90,56.9
Jun-90,57.9
Sep-90,58.5
Dec-90,60.2
Mar-91,60.0
Jun-91,60.3
Sep-91,60.4
Dec-91,61.2
Mar-92,61.2
Jun-92,61.3
Sep-92,61.6
Dec-92,61.7
Mar-93,62.1
Jun-93,62.2
Sep-93,62.5
Dec-93,63.2
Mar-94,63.0
Jun-94,63.5
Sep-94,63.9
Dec-94,64.3
Mar-95,65.2
Jun-95,66.0
Sep-95,66.7
Dec-95,67.4
Mar-96,67.7
Jun-96,68.3
Sep-96,68.8
Dec-96,68.8
Mar-97,68.8
Jun-97,68.7
Sep-97,68.4
Dec-97,68.3
Mar-98,68.7
Jun-98,68.9
Sep-98,69.1
Dec-98,69.3
Mar-99,69.0
Jun-99,69.4
Sep-99,69.5
Dec-99,69.9
Mar-00,70.3
Jun-00,71.1
Sep-00,73.5
Dec-00,73.9
Mar-01,73.9
Jun-01,74.7
Sep-01,74.9
Dec-01,75.5
Mar-02,75.7
Jun-02,76.3
Sep-02,76.6
Dec-02,77.0
Mar-03,77.7
Jun-03,78.0
Sep-03,77.9
Dec-03,78.3
Mar-04,78.6
Jun-04,78.9
Sep-04,79.6
Dec-04,79.8
Mar-05,80.2
Jun-05,80.9
Sep-05,81.8
Dec-05,82.2
Mar-06,82.9
Jun-06,84.4
Sep-06,85.8
Dec-06,86.3
Mar-07,86.3
Jun-07,87.5
Sep-07,88.5
Dec-07,88.8
Mar-08,89.6
Jun-08,90.9
Sep-08,92.5
Dec-08,92.1
Mar-09,92.2
Jun-09,93.2
Sep-09,95.0
Dec-09,94.9
Mar-10,95.4
Jun-10,96.2
Sep-10,97.2
Dec-10,97.1
Mar-11,98.2
Jun-11,99.2
Sep-11,99.9
Dec-11,99.5
Mar-12,99.9
Jun-12,100.7
Sep-12,102.0
Dec-12,102.0
Mar-13,103.7
Jun-13,104.6
Sep-13,105.5
Dec-13,106.5
Mar-14,107.4
Jun-14,108.1
Sep-14,108.3
Dec-14,108.5
Mar-15,108.3
Jun-15,108.3
Sep-15,108.7
Dec-15,109.0
Mar-16,108.0
Jun-16,108.3
Sep-16,108.7
Dec-16,108.6
Mar-17,108.5
Jun-17,108.8
Sep-17,109.4
Dec-17,109.7
Mar-18,109.7
Jun-18,110.1
Sep-18,110.8
Dec-18,111.0
Mar-19,110.1
Jun-19,111.0
Sep-19,111.3
Dec-19,111.5
Mar-20,111.8
Jun-20,109.0
Sep-20,110.8
Dec-20,111.5
Mar-21,114.4
