Date,House_Price_Index
Sep-03,40.5
Dec-03,43.3
Mar-04,45.5
Jun-04,45.2
Sep-04,46.8
Dec-04,49.7
Mar-05,53.6
Jun-05,54.7
Sep-05,56.1
Dec-05,60.2
Mar-06,63.2
Jun-06,67.1
Sep-06,67.3
Dec-06,70.5
Mar-07,72.2
Jun-07,74.1
Sep-07,76.3
Dec-07,78.3
Mar-08,77.7
Jun-08,78.5
Sep-08,81.8
Dec-08,84.3
Mar-09,87.2
Jun-09,89.0
Sep-09,92.3
Dec-09,98.7
Mar-10,99.4
Jun-10,100.9
Sep-10,101.1
Dec-10,101.9
Mar-11,99.5
Jun-11,96.5
Sep-11,96.9
Dec-11,98.2
Mar-12,100.8
Jun-12,104.1
Sep-12,105.5
Dec-12,107.8
Mar-13,109.6
Jun-13,111.0
Sep-13,111.3
Dec-13,112.8
Mar-14,114.0
Jun-14,114.7
Sep-14,114.4
Dec-14,113.7
Mar-15,113.5
Jun-15,112.6
Sep-15,112.1
Dec-15,110.1
Mar-16,107.9
Jun-16,105.3
Sep-16,104.0
Dec-16,102.4
Mar-17,101.5
Jun-17,100.1
Sep-17,97.5
Dec-17,96.0
Mar-18,94.9
Jun-18,94.0
Sep-18,93.2
Dec-18,92.6
Mar-19,90.9
Jun-19,89.3
Sep-19,88.2
Dec-19,87.5
Mar-20,88.1
Jun-20,86.9
Sep-20,87.6
Dec-20,89.5
