Date,CPI_Index
Sep-48,3.8
Dec-48,3.9
Mar-49,4.0
Jun-49,4.1
Sep-49,4.1
Dec-49,4.2
Mar-50,4.2
Jun-50,4.3
Sep-50,4.4
Dec-50,4.5
Mar-51,4.8
Jun-51,5.2
Sep-51,5.4
Dec-51,5.8
Mar-52,6.0
Jun-52,6.2
Sep-52,6.3
Dec-52,6.4
Mar-53,6.5
Jun-53,6.6
Sep-53,6.8
Dec-53,6.8
Mar-54,6.8
Jun-54,6.8
Sep-54,6.7
Dec-54,6.7
Mar-55,6.8
Jun-55,6.8
Sep-55,7.0
Dec-55,7.1
Mar-56,7.2
Jun-56,7.4
Sep-56,7.5
Dec-56,7.6
Mar-57,7.6
Jun-57,7.6
Sep-57,7.6
Dec-57,7.6
Mar-58,7.6
Jun-58,7.6
Sep-58,7.6
Dec-58,7.7
Mar-59,7.7
Jun-59,7.7
Sep-59,7.7
Dec-59,7.7
Mar-60,7.8
Jun-60,7.9
Sep-60,8.1
Dec-60,8.2
Mar-61,8.3
Jun-61,8.3
Sep-61,8.4
Dec-61,8.3
Mar-62,8.3
Jun-62,8.3
Sep-62,8.3
Dec-62,8.3
Mar-63,8.3
Jun-63,8.3
Sep-63,8.3
Dec-63,8.4
Mar-64,8.4
Jun-64,8.4
Sep-64,8.5
Dec-64,8.6
Mar-65,8.6
Jun-65,8.8
Sep-65,8.9
Dec-65,9.0
Mar-66,8.9
Jun-66,9.0
Sep-66,9.0
Dec-66,9.0
Mar-67,9.2
Jun-67,9.3
Sep-67,9.5
Dec-67,9.6
Mar-68,9.5
Jun-68,9.5
Sep-68,9.6
Dec-68,9.7
Mar-69,9.7
Jun-69,9.8
Sep-69,9.8
Dec-69,9.9
Mar-70,9.9
Jun-70,10.0
Sep-70,10.0
Dec-70,10.3
Mar-71,10.3
Jun-71,10.5
Sep-71,10.7
Dec-71,11.0
Mar-72,11.1
Jun-72,11.1
Sep-72,11.3
Dec-72,11.4
Mar-73,11.6
Jun-73,12.0
Sep-73,12.3
Dec-73,12.9
Mar-74,13.1
Jun-74,13.7
Sep-74,14.4
Dec-74,15.1
Mar-75,15.4
Jun-75,15.9
Sep-75,16.1
Dec-75,17.3
Mar-76,17.7
Jun-76,18.3
Sep-76,18.7
Dec-76,19.8
Mar-77,20.2
Jun-77,20.7
Sep-77,21.2
Dec-77,21.7
Mar-78,22.0
Jun-78,22.4
Sep-78,22.7
Dec-78,23.2
Mar-79,23.7
Jun-79,24.4
Sep-79,25.0
Dec-79,25.7
Mar-80,26.2
Jun-80,26.8
Sep-80,27.5
Dec-80,28.0
Mar-81,28.6
Jun-81,29.2
Sep-81,29.9
Dec-81,31.0
Mar-82,31.5
Jun-82,32.1
Sep-82,33.1
Dec-82,34.2
Mar-83,35.0
Jun-83,35.6
Sep-83,36.1
Dec-83,36.9
Mar-84,37.0
Jun-84,37.0
Sep-84,37.4
Dec-84,38.2
Mar-85,38.8
Jun-85,39.7
Sep-85,40.7
Dec-85,41.5
Mar-86,42.2
Jun-86,43.1
Sep-86,44.2
Dec-86,45.7
Mar-87,46.6
Jun-87,47.4
Sep-87,48.2
Dec-87,49.0
Mar-88,49.8
Jun-88,50.5
Sep-88,51.1
Dec-88,51.9
Mar-89,52.9
Jun-89,53.9
Sep-89,54.8
Dec-89,55.8
Mar-90,56.7
Jun-90,57.2
Sep-90,57.8
Dec-90,59.2
Mar-91,59.1
