Date,CPI_Index
Sep-48,3.8
Dec-48,3.8
Mar-49,3.9
Jun-49,4
Sep-49,4.1
Dec-49,4.2
Mar-50,4.3
Jun-50,4.4
Sep-50,4.5
Dec-50,4.6
Mar-51,4.9
Jun-51,5.1
Sep-51,5.4
Dec-51,5.8
Mar-52,5.9
Jun-52,6.2
Sep-52,6.3
Dec-52,6.3
Mar-53,6.4
Jun-53,6.5
Sep-53,6.5
Dec-53,6.5
Mar-54,6.5
Jun-54,6.5
Sep-54,6.4
Dec-54,6.4
Mar-55,6.5
Jun-55,6.6
Sep-55,6.7
Dec-55,6.8
Mar-56,6.9
Jun-56,7.2
Sep-56,7.3
Dec-56,7.3
Mar-57,7.2
Jun-57,7.3
Sep-57,7.3
Dec-57,7.3
Mar-58,7.3
Jun-58,7.3
Sep-58,7.3
Dec-58,7.5
Mar-59,7.5
Jun-59,7.5
Sep-59,7.6
Dec-59,7.6
Mar-60,7.7
Jun-60,7.9
Sep-60,8
Dec-60,8
Mar-61,8
Jun-61,8.1
Sep-61,8.1
Dec-61,8.1
Mar-62,8
Jun-62,8
Sep-62,8
Dec-62,8
Mar-63,8
Jun-63,8.1
Sep-63,8.1
Dec-63,8.1
Mar-64,8.1
Jun-64,8.2
Sep-64,8.2
Dec-64,8.4
Mar-65,8.5
Jun-65,8.6
Sep-65,8.6
Dec-65,8.8
Mar-66,8.8
Jun-66,8.8
Sep-66,8.9
Dec-66,8.9
Mar-67,9
Jun-67,9.2
Sep-67,9.3
Dec-67,9.3
Mar-68,9.3
Jun-68,9.4
Sep-68,9.4
Dec-68,9.5
Mar-69,9.5
Jun-69,9.6
Sep-69,9.7
Dec-69,9.7
Mar-70,9.8
Jun-70,9.9
Sep-70,9.9
Dec-70,10.1
Mar-71,10.2
Jun-71,10.3
Sep-71,10.5
Dec-71,10.7
Mar-72,10.8
Jun-72,11
Sep-72,11.1
Dec-72,11.2
Mar-73,11.5
Jun-73,11.9
Sep-73,12.3
Dec-73,12.7
Mar-74,13
Jun-74,13.6
Sep-74,14.3
Dec-74,14.7
Mar-75,15.4
Jun-75,15.9
Sep-75,15.9
Dec-75,16.9
Mar-76,17.3
Jun-76,17.8
Sep-76,18.2
Dec-76,19.3
Mar-77,19.8
Jun-77,20.4
Sep-77,20.8
Dec-77,21.2
Mar-78,21.5
Jun-78,22
Sep-78,22.4
Dec-78,22.8
Mar-79,23.2
Jun-79,23.8
Sep-79,24.5
Dec-79,25.1
Mar-80,25.5
Jun-80,26.3
Sep-80,26.8
Dec-80,27.4
Mar-81,28
Jun-81,28.6
Sep-81,29.3
Dec-81,30.6
Mar-82,31
Jun-82,31.7
Sep-82,32.8
Dec-82,33.7
Mar-83,34.4
Jun-83,35.4
Sep-83,35.9
Dec-83,37
Mar-84,36.8
Jun-84,36.9
Sep-84,37.5
Dec-84,37.9
Mar-85,38.4
Jun-85,39.5
Sep-85,40.3
Dec-85,41
Mar-86,42.1
Jun-86,42.8
Sep-86,43.9
Dec-86,45.2
Mar-87,46
Jun-87,46.8
Sep-87,47.6
Dec-87,48.4
Mar-88,49.1
Jun-88,50.1
Sep-88,50.8
Dec-88,51.7
Mar-89,52.4
Jun-89,53.8
Sep-89,55
Dec-89,56
Mar-90,56.9
Jun-90,58
Sep-90,58.5
Dec-90,60.2
Mar-91,59.9
Jun-91,60.3
Sep-91,60.8
Dec-91,61.2
Mar-92,61.2
Jun-92,61.1
Sep-92,61
Dec-92,61.1
Mar-93,61.9
Jun-93,62.2
Sep-93,62.4
Dec-93,62.6
Mar-94,62.8
Jun-94,63.3
Sep-94,63.4
Dec-94,63.9
Mar-95,65
Jun-95,65.6
Sep-95,66.4
Dec-95,66.9
Mar-96,66.8
Jun-96,67.3
Sep-96,67.6
Dec-96,67.7
Mar-97,67.8
Jun-97,67.7
Sep-97,67.5
Dec-97,67.7
Mar-98,67.6
Jun-98,68
Sep-98,68
Dec-98,68.3
Mar-99,68.3
Jun-99,68.6
Sep-99,69.3
Dec-99,69.7
Mar-00,70.5
Jun-00,70.9
Sep-00,73.6
Dec-00,73.9
Mar-01,74.7
Jun-01,75.1
Sep-01,75.5
Dec-01,76.1
Mar-02,76.9
Jun-02,77.3
Sep-02,77.9
Dec-02,78.5
Mar-03,79.6
Jun-03,79.6
Sep-03,80.1
Dec-03,80.3
Mar-04,81.1
Jun-04,81.3
Sep-04,81.5
Dec-04,82.1
Mar-05,82.7
Jun-05,83
Sep-05,83.9
Dec-05,84.3
Mar-06,85
Jun-06,86.2
Sep-06,86.8
Dec-06,86.7
Mar-07,86.9
Jun-07,87.9
Sep-07,88.6
Dec-07,89.5
Mar-08,90.7
Jun-08,91.8
Sep-08,92.9
Dec-08,92.3
Mar-09,92.6
Jun-09,92.9
Sep-09,93.4
Dec-09,94
Mar-10,95.2
Jun-10,95.8
Sep-10,96.3
Dec-10,96.9
Mar-11,98.5
Jun-11,99.2
Sep-11,99.8
Dec-11,99.9
Mar-12,99.9
Jun-12,100.4
Sep-12,101.6
Dec-12,102
Mar-13,102.4
Jun-13,102.6
Sep-13,104
Dec-13,104.8
Mar-14,105.3
Jun-14,105.9
Sep-14,106.1
Dec-14,106.3
Mar-15,106.4
Jun-15,107.1
Sep-15,107.6
Dec-15,108.3
Mar-16,108.2
Jun-16,108.6
Sep-16,109.1
Dec-16,109.9
Mar-17,110.9
Jun-17,111
Sep-17,111.5
Dec-17,112.3
Mar-18,113.3
Jun-18,113.8
Sep-18,114
Dec-18,114.6
Mar-19,114.7
Jun-19,115.3
Sep-19,115.9
Dec-19,116.9
Mar-20,117.8
Jun-20,115.7
Sep-20,116.7
Dec-20,118.4
Mar-21,118.8
