Date,House_Price_Index
Sep-03,48.3
Dec-03,50.6
Mar-04,52.5
Jun-04,53.7
Sep-04,54.7
Dec-04,57.1
Mar-05,59.4
Jun-05,62.6
Sep-05,65.2
Dec-05,70.0
Mar-06,75.6
Jun-06,86.4
Sep-06,95.1
Dec-06,98.4
Mar-07,99.0
Jun-07,97.7
Sep-07,99.4
Dec-07,100.6
Mar-08,99.5
Jun-08,97.6
Sep-08,95.3
Dec-08,92.9
Mar-09,92.5
Jun-09,95.1
Sep-09,97.6
Dec-09,103.5
Mar-10,106.5
Jun-10,106.6
Sep-10,103.8
Dec-10,103.9
Mar-11,103.0
Jun-11,100.2
Sep-11,99.1
Dec-11,99.4
Mar-12,100.5
Jun-12,101.0
Sep-12,102.1
Dec-12,105.2
Mar-13,107.5
Jun-13,110.6
Sep-13,110.7
Dec-13,113.9
Mar-14,114.8
Jun-14,114.8
Sep-14,114.5
Dec-14,114.5
Mar-15,114.4
Jun-15,113.4
Sep-15,110.7
Dec-15,111.2
Mar-16,109.3
Jun-16,108.0
Sep-16,106.3
Dec-16,106.6
Mar-17,105.5
Jun-17,104.7
Sep-17,103.7
Dec-17,104.8
Mar-18,103.9
Jun-18,103.8
Sep-18,103.2
Dec-18,102.2
Mar-19,101.1
Jun-19,99.7
Sep-19,98.5
Dec-19,99.6
Mar-20,100.2
Jun-20,99.5
Sep-20,100.9
Dec-20,103.8
