Date,CPI_Index
Sep-48,3.7
Dec-48,3.7
Mar-49,3.9
Jun-49,3.9
Sep-49,4.0
Dec-49,4.1
Mar-50,4.1
Jun-50,4.3
Sep-50,4.4
Dec-50,4.6
Mar-51,4.7
Jun-51,5.1
Sep-51,5.4
Dec-51,5.7
Mar-52,5.9
Jun-52,6.1
Sep-52,6.2
Dec-52,6.3
Mar-53,6.3
Jun-53,6.4
Sep-53,6.4
Dec-53,6.4
Mar-54,6.4
Jun-54,6.4
Sep-54,6.4
Dec-54,6.4
Mar-55,6.5
Jun-55,6.5
Sep-55,6.5
Dec-55,6.6
Mar-56,6.6
Jun-56,6.9
Sep-56,7.1
Dec-56,7.1
Mar-57,7.1
Jun-57,7.1
Sep-57,7.2
Dec-57,7.2
Mar-58,7.3
Jun-58,7.3
Sep-58,7.2
Dec-58,7.3
Mar-59,7.3
Jun-59,7.3
Sep-59,7.3
Dec-59,7.4
Mar-60,7.4
Jun-60,7.5
Sep-60,7.6
Dec-60,7.7
Mar-61,7.7
Jun-61,7.8
Sep-61,7.7
Dec-61,7.7
Mar-62,7.7
Jun-62,7.7
Sep-62,7.7
Dec-62,7.8
Mar-63,7.8
Jun-63,7.8
Sep-63,7.8
Dec-63,7.8
Mar-64,7.8
Jun-64,7.9
Sep-64,8.0
Dec-64,8.1
Mar-65,8.1
Jun-65,8.2
Sep-65,8.3
Dec-65,8.4
Mar-66,8.4
Jun-66,8.4
Sep-66,8.5
Dec-66,8.5
Mar-67,8.6
Jun-67,8.7
Sep-67,8.8
Dec-67,8.8
Mar-68,8.9
Jun-68,8.9
Sep-68,8.9
Dec-68,9.1
Mar-69,9.2
Jun-69,9.2
Sep-69,9.3
Dec-69,9.4
Mar-70,9.5
Jun-70,9.7
Sep-70,9.7
Dec-70,9.9
Mar-71,10.1
Jun-71,10.3
Sep-71,10.6
Dec-71,10.8
Mar-72,10.9
Jun-72,11.1
Sep-72,11.2
Dec-72,11.3
Mar-73,11.6
Jun-73,11.9
Sep-73,12.3
Dec-73,12.8
Mar-74,13.1
Jun-74,13.6
Sep-74,14.4
Dec-74,14.9
Mar-75,15.3
Jun-75,15.9
Sep-75,16.1
Dec-75,16.9
Mar-76,17.4
Jun-76,17.8
Sep-76,18.1
Dec-76,19.1
Mar-77,19.5
Jun-77,19.9
Sep-77,20.3
Dec-77,20.7
Mar-78,21.0
Jun-78,21.4
Sep-78,21.9
Dec-78,22.4
Mar-79,22.8
Jun-79,23.5
Sep-79,24.1
Dec-79,24.7
Mar-80,25.4
Jun-80,26.1
Sep-80,26.6
Dec-80,27.1
Mar-81,27.9
Jun-81,28.4
Sep-81,28.9
Dec-81,30.1
Mar-82,30.7
Jun-82,31.6
Sep-82,32.7
Dec-82,33.7
Mar-83,34.4
Jun-83,35.1
Sep-83,35.5
Dec-83,36.2
Mar-84,36.1
Jun-84,36.1
Sep-84,36.5
Dec-84,37.1
Mar-85,37.6
Jun-85,38.4
Sep-85,39.3
Dec-85,40.2
Mar-86,41.1
Jun-86,41.8
Sep-86,42.8
Dec-86,44.1
Mar-87,45.0
Jun-87,45.7
Sep-87,46.5
Dec-87,47.2
Mar-88,48.3
Jun-88,49.0
Sep-88,50.3
Dec-88,51.6
Mar-89,51.7
Jun-89,52.9
Sep-89,54.4
Dec-89,55.4
Mar-90,56.3
Jun-90,57.2
Sep-90,57.6
Dec-90,58.9
Mar-91,59.0
Jun-91,58.9
Sep-91,59.2
Dec-91,59.8
Mar-92,59.8
Jun-92,59.5
Sep-92,59.7
Dec-92,60.0
Mar-93,60.4
Jun-93,60.5
Sep-93,60.7
Dec-93,60.8
Mar-94,60.9
Jun-94,61.4
Sep-94,62.0
Dec-94,62.4
Mar-95,63.5
Jun-95,64.4
Sep-95,65.5
Dec-95,66.1
Mar-96,66.5
Jun-96,67.0
Sep-96,67.1
Dec-96,67.2
Mar-97,67.3
Jun-97,67.1
Sep-97,66.9
Dec-97,67.1
Mar-98,67.4
Jun-98,67.8
Sep-98,68.0
Dec-98,68.4
Mar-99,68.4
Jun-99,68.7
Sep-99,69.3
Dec-99,69.7
Mar-00,70.3
Jun-00,70.9
Sep-00,73.5
Dec-00,73.8
Mar-01,74.8
Jun-01,75.4
Sep-01,75.6
Dec-01,76.3
Mar-02,77.0
Jun-02,77.5
Sep-02,77.9
Dec-02,78.4
Mar-03,79.4
Jun-03,79.4
Sep-03,79.5
Dec-03,80.2
Mar-04,80.9
Jun-04,81.2
Sep-04,81.6
Dec-04,82.3
Mar-05,82.7
Jun-05,83.2
Sep-05,84.0
Dec-05,84.3
Mar-06,85.0
Jun-06,86.4
Sep-06,87.2
Dec-06,87.0
Mar-07,86.9
Jun-07,87.9
Sep-07,88.3
Dec-07,89.1
Mar-08,90.3
