Date,House_Price_Index
Sep-03,85.3
Dec-03,88.2
Mar-04,87.0
Jun-04,84.4
Sep-04,84.2
Dec-04,84.8
Mar-05,83.2
Jun-05,82.6
Sep-05,81.4
Dec-05,81.8
Mar-06,80.8
Jun-06,82.3
Sep-06,82.0
Dec-06,82.7
Mar-07,81.9
Jun-07,85.2
Sep-07,87.3
Dec-07,89.2
Mar-08,88.5
Jun-08,87.3
Sep-08,85.7
Dec-08,84.5
Mar-09,83.9
Jun-09,87.5
Sep-09,91.1
Dec-09,96.0
Mar-10,98.9
Jun-10,101.4
Sep-10,101.1
Dec-10,101.3
Mar-11,101.0
Jun-11,101.4
Sep-11,99.9
Dec-11,98.4
Mar-12,100.3
Jun-12,101.4
Sep-12,100.9
Dec-12,103.7
Mar-13,104.7
Jun-13,108.7
Sep-13,112.8
Dec-13,119.0
Mar-14,121.7
Jun-14,126.0
Sep-14,128.8
Dec-14,133.4
Mar-15,137.6
Jun-15,149.8
Sep-15,154.4
Dec-15,151.9
Mar-16,150.9
Jun-16,155.2
Sep-16,159.3
Dec-16,167.6
Mar-17,172.7
Jun-17,176.6
Sep-17,174.2
Dec-17,174.0
Mar-18,171.9
Jun-18,169.8
Sep-18,166.6
Dec-18,160.5
Mar-19,154.2
Jun-19,153.5
Sep-19,159.0
Dec-19,166.4
Mar-20,169.6
Jun-20,165.9
Sep-20,167.6
Dec-20,172.6
